# Sr.No.    k (1/nm)             Energy(eV) 
  459         3.690000e+00         1.695801e+00   
  460         3.700000e+00         1.700310e+00   
  461         3.710000e+00         1.704818e+00   
  462         3.720000e+00         1.709323e+00   
  463         3.730000e+00         1.713826e+00   
  464         3.740000e+00         1.718327e+00   
  465         3.750000e+00         1.722826e+00   
  466         3.760000e+00         1.727323e+00   
  467         3.770000e+00         1.731818e+00   
  468         3.780000e+00         1.736310e+00   
  469         3.790000e+00         1.740800e+00   
  470         3.800000e+00         1.745288e+00   
  471         3.810000e+00         1.749774e+00   
  472         3.820000e+00         1.754258e+00   
  473         3.830000e+00         1.758740e+00   
  474         3.840000e+00         1.763220e+00   
  475         3.850000e+00         1.767697e+00   
  476         3.860000e+00         1.772172e+00   
  477         3.870000e+00         1.776645e+00   
  478         3.880000e+00         1.781116e+00   
  479         3.890000e+00         1.785585e+00   
  480         3.900000e+00         1.790052e+00   
  481         3.910000e+00         1.794516e+00   
  482         3.920000e+00         1.798978e+00   
  483         3.930000e+00         1.803438e+00   
  484         3.940000e+00         1.807896e+00   
  485         3.950000e+00         1.812351e+00   
  486         3.960000e+00         1.816805e+00   
  487         3.970000e+00         1.821256e+00   
  488         3.980000e+00         1.825704e+00   
  489         3.990000e+00         1.830151e+00   
  490         4.000000e+00         1.834595e+00   
  491         4.010000e+00         1.839036e+00   
  492         4.020000e+00         1.843475e+00   
  493         4.030000e+00         1.847912e+00   
  494         4.040000e+00         1.852347e+00   
  495         4.050000e+00         1.856779e+00   
  496         4.060000e+00         1.861208e+00   
  497         4.070000e+00         1.865635e+00   
  498         4.080000e+00         1.870059e+00   
  499         4.090000e+00         1.874481e+00   
  500         4.100000e+00         1.878900e+00   
  501         4.110000e+00         1.883317e+00   
  502         4.120000e+00         1.887730e+00   
  503         4.130000e+00         1.892141e+00   
  504         4.140000e+00         1.896550e+00   
  505         4.150000e+00         1.900955e+00   
  506         4.160000e+00         1.905358e+00   
  507         4.170000e+00         1.909758e+00   
  508         4.180000e+00         1.914155e+00   
  509         4.190000e+00         1.918548e+00   
  510         4.200000e+00         1.922939e+00   
  511         4.210000e+00         1.927327e+00   
  512         4.220000e+00         1.931712e+00   
  513         4.230000e+00         1.936093e+00   
  514         4.240000e+00         1.940471e+00   
  515         4.250000e+00         1.944846e+00   
  516         4.260000e+00         1.949218e+00   
  517         4.270000e+00         1.953586e+00   
  518         4.280000e+00         1.957951e+00   
  519         4.290000e+00         1.962313e+00   
  520         4.300000e+00         1.966671e+00   
  521         4.310000e+00         1.971025e+00   
  522         4.320000e+00         1.975375e+00   
  523         4.330000e+00         1.979722e+00   
  524         4.340000e+00         1.984065e+00   
  525         4.350000e+00         1.988405e+00   
  526         4.360000e+00         1.992740e+00   
  527         4.370000e+00         1.997071e+00   
  528         4.380000e+00         2.001398e+00   
  529         4.390000e+00         2.005721e+00   
  530         4.400000e+00         2.010040e+00   
  531         4.410000e+00         2.014355e+00   
  532         4.420000e+00         2.018665e+00   
  533         4.430000e+00         2.022971e+00   
  534         4.440000e+00         2.027273e+00   
  535         4.450000e+00         2.031569e+00   
  536         4.460000e+00         2.035861e+00   
  537         4.470000e+00         2.040149e+00   
  538         4.480000e+00         2.044432e+00   
  539         4.490000e+00         2.048709e+00   
  540         4.500000e+00         2.052982e+00   
  541         4.510000e+00         2.057250e+00   
  542         4.520000e+00         2.061512e+00   
  543         4.530000e+00         2.065770e+00   
  544         4.540000e+00         2.070021e+00   
  545         4.550000e+00         2.074268e+00   
